127.0.0.1 - - [28/Apr/2020:20:45:15 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:45:18 +0800] "GET /NatPro_Web/3add.jsp HTTP/1.1" 200 40671
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:45:19 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 200 179177
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:45:19 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:45:21 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 200 369699
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:45:21 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:56:57 +0800] "GET /NatPro_Web/3add.jsp HTTP/1.1" 200 40671
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:56:58 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:56:58 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:56:59 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:56:59 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:57:06 +0800] "GET /NatPro_Web/3add.jsp HTTP/1.1" 200 40671
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:57:07 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 200 179177
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:57:08 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 200 369699
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:57:08 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:57:08 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [28/Apr/2020:20:57:19 +0800] "GET /NatPro_Web/3add.jsp HTTP/1.1" 200 40671
